id,code,short_name,short_name_spelling,full_name,list_status_id,list_status,issuer,company_code,issue_start_date,issue_end_date,plan_raise_fund,actual_raise_fund,issue_par,issue_price,is_guarantee,fund_raising_purposes,list_declare_date,convert_price_reason,convert_price,convert_start_date,convert_end_date,convert_code,coupon,exchange_code,exchange,currency_id,coupon_type_id,coupon_type,coupon_frequency,payment_type_id,payment_type,par,repayment_period,bond_type_id,bond_type,bond_form_id,bond_form,list_date,delist_Date,interest_begin_date,maturity_date,interest_date,last_cash_date,cash_comment
12,125729,燕京转债,YJZZ,北京燕京啤酒股份有限公司可转换公司债券,301006,终止上市,北京燕京啤酒股份有限公司,000729.XSHE,2002-10-16,2002-10-16,70000.0,70000.0,100,100.0,1,,2002-10-31,"初始转股价格为10.59元/股,以公布燕京转债募集说明书前三十个交易日公司股票的平均收盘价格为基准,上浮10%确定。",10.59,2003-10-16,2007-10-16,000729,,705002,深交所主板,人民币,701002,固定利率附息,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2002-10-31,2007-10-16,2002-10-16,2007-10-16,10-16,2007-10-16,
13,125629,钢钒转债,GFZZ,攀枝花新钢钒股份有限公司可转换公司债券,301006,终止上市,攀钢集团钒钛资源股份有限公司,000629.XSHE,2003-01-22,2003-01-22,160000.0,160000.0,100,100.0,1,"1、1450mm 热连轧技术改造项目
2、淘汰模铸、增配方坯和板坯连铸机技术改造工程",2003-02-12,"以公布募集说明书前30个交易日公司A股股票的平均收盘价为基础,上浮0.2%。",5.64,2003-07-22,2008-01-22,000629,,705002,深交所主板,人民币,701003,递进利率,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2003-02-17,2004-04-14,2003-01-22,2004-04-06,01-22,2004-04-06,
14,100016,民生转债,MSZZ,民生银行可转换公司债券,301006,终止上市,中国民生银行股份有限公司,600016.XSHG,2003-02-27,2003-02-27,400000.0,400000.0,100,100.0,1,"1、发放支持中小企业专项贷款
2、拨付分支机构营运资金（转股后）
3、购置固定资产
4、增加资产的流动性",2003-03-13,"以公布募集说明书之日前30个交易日公司股票的算术平均收盘价格10.01为基础,上浮1%",7.73,2003-08-27,2008-02-27,600016,,705001,上交所,人民币,701002,固定利率附息,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2003-03-18,2008-02-26,2003-02-27,2008-02-27,02-27,2008-02-27,
15,100177,雅戈转债,YGZZ,雅戈尔集团股份有限公司可转换公司债券,301006,终止上市,雅戈尔集团股份有限公司,600177.XSHG,2003-04-03,2003-04-03,119000.0,119000.0,100,100.0,1,,2003-04-21,"以公布募集说明书之日前30个交易日公司股票的平均收盘价格为基础,上浮0.1%作为初始转股价格。",9.48,2003-10-03,2006-04-03,600177,,705001,上交所,人民币,701003,递进利率,12,702002,按年付息,100.0,36,703013,可转债,704001,记账式,2003-04-21,2006-04-10,2003-04-03,2006-04-03,04-03,2006-04-03,
16,125930,丰原转债,FYZZ,安徽丰原生物化学股份有限公司可转换公司债券,301006,终止上市,中粮生物科技股份有限公司,000930.XSHE,2003-04-24,2003-04-24,50000.0,50000.0,100,100.0,1,,2003-05-20,"以公布募集说明书之日前30个交易日公司股票的平均收盘价格为基础,溢价幅度确定为0.1%。",8.13,2003-10-27,2008-04-22,000930,,705002,深交所主板,人民币,701003,递进利率,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2003-05-20,2006-03-24,2003-04-24,2006-03-13,04-24,2006-03-13,
17,125630,铜都转债,TDZZ,安徽铜都铜业股份有限公司可转换公司债券,301006,终止上市,铜陵有色金属集团股份有限公司,000630.XSHE,2003-05-21,2003-05-21,76000.0,76000.0,100,100.0,1,,2003-05-31,"以公布募集说明书前三十个交易日""铜都铜业""股票平均收盘价格6.897元为基准,上浮0.1%",6.9,2003-11-21,2008-05-15,000630,,705002,深交所主板,人民币,701002,固定利率附息,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2003-06-04,2006-07-11,2003-05-21,2006-06-30,05-21,2006-06-30,
18,100726,华电转债,HDZZ,黑龙江电力股份有限公司可转换公司债券,301006,终止上市,华电能源股份有限公司,600726.XSHG,2003-06-03,2003-06-03,80000.0,80000.0,100,100.0,1,,2003-06-13,"本期可转换债券初始转股价格以公布募集说明书前30个交易日龙电股份A股的平均收盘价(7.21元/股)为基础上浮3%,即7.43元/股。",6.5,2003-12-03,2008-06-02,600726,,705001,上交所,人民币,701002,固定利率附息,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2003-06-18,2007-06-05,2003-06-03,2007-05-29,06-03,2007-05-29,
19,100567,山鹰转债,SYZZ,安徽山鹰纸业股份有限公司可转换公司债券,301006,终止上市,山鹰国际控股股份公司,600567.XSHG,2003-06-16,2003-06-16,25000.0,25000.0,100,100.0,1,本次募资用于5万吨/年高强度牛皮卡纸国家级火炬计划项目，4万吨/年低定量强韧牛皮纸箱板火炬计划项目，多层瓦楞纸箱、纸箱板生产线技改工程，污水处理及水封闭循环使用系统能够改造工程，剩余资金用于补充企业流动资,2003-06-26,募集说明书前30个交易日“山鹰纸业“股票收盘价格的算数平均值为基准，上调0.1%,6.77,2003-12-16,2008-06-15,600567,,705001,上交所,人民币,701003,递进利率,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2003-07-01,2007-02-13,2003-06-16,2007-01-31,06-16,2007-01-31,
20,100236,桂冠转债,GGZZ,广西桂冠电力股份有限公司可转换公司债券,301006,终止上市,广西桂冠电力股份有限公司,600236.XSHG,2003-06-30,2003-06-30,80000.0,80000.0,100,100.0,1,"本次发行预计扣除发行费用后,实际募集资金78322万元,将全部用于：恶滩水电站扩建工程、合山电厂改扩建工程、平班水电站建设项目。",2003-07-10,本期可转换债券初始转股价格以本次发行《募集说明书》公告之日前30个交易日桂冠电力收盘价的算术平均值12．50元为基础，上浮3％（即初始转股溢价比率为3％）来确定，为12．88元／股。,12.58,2004-06-30,2008-06-30,600236,,705001,上交所,人民币,701003,递进利率,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2003-07-15,2008-07-04,2003-06-30,2008-06-30,06-30,2008-06-30,
21,100795,国电转债,GDZZ,国电电力发展股份有限公司可转换公司债券,301006,终止上市,国电电力发展股份有限公司,600795.XSHG,2003-07-15,2003-07-25,200000.0,200000.0,100,100.0,1,,2003-08-01,初始转股价格以本募集说明书公布前30个交易日公司股票的平均收盘价格为基础上浮3%,10.55,2004-01-18,2008-07-17,600795,,705001,上交所,人民币,701003,递进利率,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2003-08-01,2007-04-30,2003-07-18,2007-04-23,07-18,2007-04-23,
22,100117,西钢转债,XGZZ,西宁特殊钢股份有限公司可转换公司债券,301006,终止上市,西宁特殊钢股份有限公司,600117.XSHG,2003-08-11,2003-08-18,49000.0,49000.0,100,100.0,1,,2003-08-26,"初始转股价为5.34 元/股,以募集说明书刊登日前30 个交易日本公司A 股收盘价的算术平均值5.34 元为基准,上浮0.1%。",5.34,2004-02-11,2008-08-10,600117,,705001,上交所,人民币,701003,递进利率,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2003-08-26,2007-06-14,2003-08-11,2007-06-11,08-11,2007-06-11,
23,125936,华西转债,HXZZ,江苏华西村股份有限公司可转换公司债券,301006,终止上市,江苏华西村股份有限公司,000936.XSHE,2003-09-01,2003-09-01,40000.0,40000.0,100,100.0,1,,2003-09-13,"初始转股价格以公布募集说明书之日前三十个交易日本公司股票的平均收盘价格为基础,上浮0.1%作为初始转股价格。初始转股价格自本次发行结束后开始生效。",11.86,2004-03-01,2008-08-31,000936,,705002,深交所主板,人民币,701003,递进利率,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2003-09-16,2006-08-21,2003-09-01,2006-08-14,09-01,2006-08-14,
24,100096,云化转债,YHZZ,云南云天化股份有限公司可转换公司债券,301006,终止上市,云南云天化股份有限公司,600096.XSHG,2003-09-10,2003-09-17,41000.0,41000.0,100,100.0,1,,2003-09-20,"以公布募集说明书日前30个交易日本公司A股收盘价的算术平均值为基准,上浮0.1%,即每股9.43 元;",9.43,2004-03-10,2006-09-09,600096,,705001,上交所,人民币,701003,递进利率,12,702002,按年付息,100.0,36,703013,可转债,704001,记账式,2003-09-25,2006-09-15,2003-09-10,2006-09-09,09-10,2006-09-09,
25,100196,复星转债,FXZZ,上海复星实业股份有限公司可转换公司债券,301006,终止上市,上海复星医药(集团)股份有限公司,600196.XSHG,2003-10-28,2003-11-04,95000.0,95000.0,100,100.0,1,,2003-11-12,"以本募集说明书公布之日前30个交易日公司股票的平均收盘价格为基准,上浮0.1%确定。",10.06,2004-04-28,2008-10-27,600196,,705001,上交所,人民币,701003,递进利率,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2003-11-17,2006-07-24,2003-10-28,2006-07-12,10-28,2006-07-12,
26,110001,邯钢转债,HGZZ,邯郸钢铁股份有限公司可转换公司债券,301006,终止上市,邯郸钢铁股份有限公司,600001.XSHG,2003-11-26,2003-11-26,200000.0,200000.0,100,100.0,1,,2003-12-06,本次发行的可转债初始转股价格以公布《募集说明书》之日前30个交易日公司股票收盘价格的算术平均值为基准上浮0.2%。,5.34,2003-11-26,2008-11-25,600001,,705001,上交所,人民币,701003,递进利率,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2003-12-11,2007-03-16,2003-11-26,2007-03-02,11-26,2007-03-02,
27,125959,首钢转债,SGZZ,北京首钢股份有限公司可转换公司债券,301006,终止上市,北京首钢股份有限公司,000959.XSHE,2003-12-16,2003-12-16,200000.0,200000.0,100,100.0,1,,2003-12-26,"以公布募集说明书之日前30个交易日公司A股股票收盘价格的算术平均值为基础,上浮0.1%作为初始转股价格。",5.46,2004-06-16,2008-12-16,000959,,705002,深交所主板,人民币,701002,固定利率附息,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2003-12-31,2007-04-13,2003-12-16,2007-04-06,12-16,2007-04-06,
28,125069,侨城转债,QCZZ,深圳华侨城控股股份有限公司可转换公司债券,301006,终止上市,深圳华侨城股份有限公司,000069.XSHE,2003-12-31,2003-12-31,40000.0,40000.0,100,100.0,1,,2004-01-10,"以可转债募集说明书公布前30个交易日发行人A股股票收盘价格的算术平均值为基准,上浮1%确定",6.15,2004-07-01,2006-12-31,000069,,705002,深交所主板,人民币,701003,递进利率,12,702002,按年付息,100.0,36,703013,可转债,704001,记账式,2004-01-16,2005-04-29,2003-12-31,2005-04-22,12-31,2005-04-22,
29,110418,江淮转债,JHZZ,安徽江淮汽车股份有限公司可转换公司债券,301006,终止上市,安徽江淮汽车集团股份有限公司,600418.XSHG,2004-04-15,2004-04-15,88000.0,88000.0,100,100.0,1,,2004-04-24,"以公布募集说明书之日前30个交易日公司股票的平均收盘价格为基础,上浮0.1%作为初始转股价格。",16.65,2004-10-15,2009-04-14,600418,,705001,上交所,人民币,701003,递进利率,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2004-04-29,2006-07-18,2004-04-15,2006-07-10,04-15,2006-07-10,
30,110037,歌华转债,GHZZ,北京歌华有线电视网络股份有限公司可转换公司债券,301006,终止上市,北京歌华有线电视网络股份有限公司,600037.XSHG,2004-05-12,2004-05-12,125000.0,125000.0,100,100.0,1,,2004-05-21,"以公布募集说明书日前30个交易日本公司A股股票收盘价的算术平均值为基准,上浮0.1%,即22.57元",22.42,2004-11-12,2009-05-11,600037,,705001,上交所,人民币,701003,递进利率,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2004-05-28,2009-05-18,2004-05-12,2009-05-12,05-12,2009-05-12,
31,110317,营港转债,YGZZ,营口港务股份有限公司可转换公司债券,301006,终止上市,营口港务股份有限公司,600317.XSHG,2004-05-20,2004-05-20,70000.0,70000.0,100,100.0,1,,2004-05-29,"以本募集说明书公布前30个交易日股票平均收盘价10.05元/股为基准,上浮3%。",10.35,2004-11-20,2009-05-19,600317,,705001,上交所,人民币,701003,递进利率,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2004-06-03,2007-04-06,2004-05-20,2007-03-26,05-20,2007-03-26,
32,110874,创业转债,CYZZ,天津创业环保股份有限公司可转换公司债券,301006,终止上市,天津创业环保集团股份有限公司,600874.XSHG,2004-07-01,2004-07-01,120000.0,120000.0,100,100.0,1,,2004-07-12,"以公布募集说明书日前30个交易日本公司A股收盘价的算术平均值为基准,上浮0.5%",7.7,2005-07-01,2009-06-30,600874,,705001,上交所,人民币,701003,递进利率,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2004-07-19,2007-09-07,2004-07-01,2007-08-28,07-01,2007-08-28,
33,125932,华菱转债,HLZZ,湖南华菱管线股份有限公司可转换公司债券,301006,终止上市,湖南华菱钢铁股份有限公司,000932.XSHE,2004-07-16,2004-07-23,200000.0,200000.0,100,100.0,1,,2004-08-03,以公布募集说明书之日前30个交易日公司股票的平均收盘价格为基础上浮0.1%,5.01,2005-01-16,2009-07-16,000932,,705002,深交所主板,人民币,701003,递进利率,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2004-08-03,2007-06-08,2004-07-16,2007-05-31,07-16,2007-05-31,
34,125937,金牛转债,JNZZ,河北金牛能源股份有限公司可转换公司债券,301006,终止上市,冀中能源股份有限公司,000937.XSHE,2004-08-11,2004-08-11,70000.0,70000.0,100,100.0,1,,2004-08-20,以公布募集说明书之日前30个交易日公司A股股票的平均收盘价格为基础上浮0.1%,10.81,2005-02-11,2008-03-11,000937,,705002,深交所主板,人民币,701003,递进利率,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2004-08-26,2008-03-18,2004-08-11,2008-03-11,08-11,2008-03-11,
35,125822,海化转债,HHZZ,山东海化股份有限公司公开发行可转换公司债券,301006,终止上市,山东海化股份有限公司,000822.XSHE,2004-09-07,2004-09-07,100000.0,100000.0,100,100.0,1,,2004-09-21,以公告本募集说明书前30 个交易日“山东海化”股票收盘价的算术平均值7.14 元为基准上浮0.10%确定.,7.15,2005-03-07,2009-09-07,000822,,705002,深交所主板,人民币,701003,递进利率,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2004-09-23,2008-02-26,2004-09-07,2008-02-18,09-07,2008-02-18,
36,125488,晨鸣转债,CMZZ,山东晨鸣纸业集团股份有限公司发行可转换公司债券,301006,终止上市,山东晨鸣纸业集团股份有限公司,000488.XSHE,2004-09-15,2004-09-15,200000.0,200000.0,100,100.0,1,,2004-09-25,公布募集说明书之日前30个交易日公司人民币普通股(A股)股票的平均收盘价格为基准上浮3%。,9.99,2005-03-15,2009-09-15,000488,,705002,深交所主板,人民币,701003,递进利率,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2004-09-30,2007-05-21,2004-09-15,2007-05-14,09-15,2007-05-14,
37,126002,万科转2,WKZ2,万科企业股份有限公司可转换公司债券,301006,终止上市,万科企业股份有限公司,000002.XSHE,2004-09-24,2004-09-24,199000.0,199000.0,100,100.0,1,,2004-10-15,"以公布本募集说明书前三十个交易日公司A股股票平均收盘价格5.22元/股为基准,上浮5%",5.48,2005-03-24,2009-09-24,000002,,705002,深交所主板,人民币,701003,递进利率,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2004-10-18,2006-04-14,2004-09-24,2006-04-07,09-24,2006-04-07,
38,110219,南山转债,NSZZ,山东南山实业股份有限公司可转换公司债券,301006,终止上市,山东南山铝业股份有限公司,600219.XSHG,2004-10-19,2004-10-19,88300.0,88300.0,100,100.0,1,,2004-10-29,"以公布募集说明书之日前30个交易日公司股票的平均收盘价格为基础,上浮0.1%作为初始转股价格。",7.37,2005-04-19,2009-10-19,600219,,705001,上交所,人民币,701003,递进利率,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2004-11-03,2006-08-24,2004-10-19,2006-08-11,10-19,2006-08-11,
39,110036,招行转债,ZHZZ,招商银行股份有限公司可转换公司债券,301006,终止上市,招商银行股份有限公司,600036.XSHG,2004-11-10,2004-11-10,650000.0,650000.0,100,100.0,1,转股前50%左右用于支持优质企业的贷款项目，其余投资国债或其它金融产品。转股后对应的资金全部用于补充核心资本。转股增加的资本将用于拨付新设机构的营运资金、信息系统建设及购建固定资产，其余部分参与资金营运.,2004-11-23,"以公布募集说明书之日前30个交易日本行股票的算术平均收盘价9.067元为基础,上浮3%。",9.34,2005-05-10,2009-11-10,600036,,705001,上交所,人民币,701003,递进利率,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2004-11-29,2009-11-17,2004-11-10,2009-11-10,11-10,2009-11-10,
40,110010,包钢转债,BGZZ,内蒙古包钢钢联股份有限公司可转换公司债券,301006,终止上市,内蒙古包钢钢联股份有限公司,600010.XSHG,2004-11-10,2004-11-10,180000.0,180000.0,100,100.0,1,,2004-11-25,"以公布钢联转债募集说明书前三十个交易日公司股票的平均收盘价格为基准,上浮0.5%确定。",4.62,2005-05-10,2009-11-09,600010,,705001,上交所,人民币,701003,递进利率,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2004-11-25,2009-11-16,2004-11-10,2009-11-10,11-10,2009-11-10,
41,125009,宝安转债,BAZZ,深宝安可转换公司债券,301006,终止上市,中国宝安集团股份有限公司,000009.XSHE,1992-11-19,1992-12-31,50000.0,50000.0,5000,5000.0,0,"1、购买武汉南湖机场及其附近土地270万平方米
2、购买上海浦东陆家嘴金融贸易区土地1.28万平方米
3、合同签定，投资盐田港区卫星城基础设施2.5亿元，换得盐田港补偿33万平方米的商住土地；投资平盐铁路0.5亿元等",1993-02-07,转换价格为每25元面额的可转换债券可转换本公司1股人民币普通股。转换以“手”为单位进行。,19.39,1993-06-01,1995-12-31,000009,,705002,深交所主板,人民币,701002,固定利率附息,12,702002,按年付息,5000.0,36,703013,可转债,704001,记账式,1993-02-10,1995-12-31,1993-01-01,1996-01-01,12-31,1996-01-01,
42,110325,华发转债,HFZZ,珠海华发实业股份有限公司可转换公司债券,301006,终止上市,珠海华发实业股份有限公司,600325.XSHG,2006-07-27,2006-07-27,43000.0,43000.0,100,100.0,1,本次募资用于华发新城三期项目、华发新城四起项目。,2007-08-10,募集说明书公告日前二十个交易日公司股票交易均价和前一交易日均价较高者。,7.68,2007-01-27,2011-07-27,600325,1.3,705001,上交所,人民币,701003,递进利率,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2006-08-11,2007-04-13,2006-07-27,2007-04-03,07-27,2007-04-03,
43,110423,柳化转债,LHZZ,柳州化工股份有限公司可转换公司债券,301006,终止上市,柳州化工股份有限公司,600423.XSHG,2006-07-28,2006-07-28,30700.0,30700.0,100,100.0,1,本次募资用于：1、2台130t/h循环流化床锅炉2、合成气变化系统技改项目3、合成氨冷冻系统技改项目4、CO2汽提法年产30万吨大颗粒尿素生产装置,2006-08-09,以公布募集说明书之日前20个交易日公司股票交易均价和前一交易日均价两者较高者为基准上浮1%。,9.86,2007-01-28,2011-07-28,600423,1.5,705001,上交所,人民币,701003,递进利率,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2006-08-10,2007-04-13,2006-07-28,2007-04-03,07-28,2007-04-03,
44,110398,凯诺转债,KNZZ,凯诺科技股份有限公司可转换公司债券,301006,终止上市,海澜之家集团股份有限公司,600398.XSHG,2006-08-15,2006-08-15,43000.0,43000.0,100,100.0,1,本次募资用于引进设计软件及设备开发生产高档休闲服装技术改造项目；  江阴汇邦服饰有限公司二期工程项目；引进后整理关键设备提高产品档次技改项目；收购江阴成享纸业有限公司标准厂房及相关设施项目等。,2006-08-29,"以募集说明书公告日前20个交易日本公司股票交易均价和前一交易日的均价之间的高者为基准,上浮0.1%,确定为4.96元。",4.96,2007-02-15,2011-08-15,600398,1.4,705001,上交所,人民币,701003,递进利率,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2006-08-30,2007-10-16,2006-08-15,2007-10-16,08-15,2007-10-16,
45,125024,招商转债,ZSZZ,招商局地产控股股份有限公司可转换公司债券,301006,终止上市,招商局地产控股股份有限公司,000024.XSHE,2006-08-30,2006-08-30,151000.0,151000.0,100,100.0,1,本次募资用于公司房地产主营业务，包括兰溪谷二期(原半山海景花园二期)、花园城中心(原花园城二期)、依山郡(原招商东部花园城)和花园城三期2＃地块。,2010-09-08,以公布募集说明书之日前20个交易日公司A股股票交易均价和前1交易日均价二者较高者为基准上浮1%。,13.09,2007-03-01,2011-08-30,000024,1.0,705002,深交所主板,人民币,701003,递进利率,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2006-09-11,2007-05-31,2006-08-30,2007-05-25,08-30,2007-05-25,
46,110488,天药转债,TYZZ,天津天药药业股份有限公司可转换公司债券,301006,终止上市,天津天药药业股份有限公司,600488.XSHG,2006-10-25,2006-10-25,39000.0,39000.0,100,100.0,1,"公司本次发行可转债所募集资金将全部用于投资建设年产500吨激素类原料
药中间体项目。",2006-11-09,以公告募集说明书前二十个交易日公司股票的交易均价为基础上浮1%和前一交易日均价二者中的较高者。,4.33,2007-04-25,2012-10-25,600488,1.52,705001,上交所,人民币,701003,递进利率,12,702002,按年付息,100.0,72,703013,可转债,704001,记账式,2006-11-10,2007-07-04,2006-10-25,2007-06-22,10-25,2007-06-22,
